ProductName,Version,OEM,SeverityLevel,Vulnerability,MitigationStrategy,PublishedDate,UniqueID
Security Bulletin: NVIDIA SHIELD TV Software Security Updates for Multiple Vulnerabilities,N/A,NVIDIA,Medium,"CVE-2017-6290, CVE-2017-6292, CVE-2017-6294",https://nvidia.custhelp.com/app/answers/detail/a_id/4682,28 Jun 2018,14 Sep 2018
Security Notice: NVIDIA Tegra RCM Vulnerability,N/A,NVIDIA,None,CVE-2018-6242,https://nvidia.custhelp.com/app/answers/detail/a_id/4660,24 Apr 2018,24 Apr 2018
Security Bulletin: NVIDIA GPU Display Driver security updates for multiple vulnerabilities,N/A,NVIDIA,High,"CVE-2018-6247, CVE-2018-6248, CVE-2018-6249, CVE-2018-6250, CVE-2018-6251, CVE-2018-6252, CVE-2018-6253",https://nvidia.custhelp.com/app/answers/detail/a_id/4649,28 Mar 2018,28 Mar 2018
Security Bulletin: NVIDIA SHIELD Tablet security update for a Media Server vulnerability,N/A,NVIDIA,High,CVE-2017-6276,https://nvidia.custhelp.com/app/answers/detail/a_id/4632,22 Mar 2018,22 Mar 2018
"Security Bulletin: NVIDIA Jetson TX1, Jetson TK1, Jetson TX2, and Tegra K1 L4T security updates for multiple vulnerabilities",N/A,NVIDIA,Critical,"CVE-2016-6776, CVE-2017-0328, CVE-2017-0339, CVE-2017-0448, CVE- 2017-6248, CVE-2017-6274, CVE-2017-6275, CVE-2017-6276, CVE-2017-6278, CVE-2017-6282, CVE-2017-6283",https://nvidia.custhelp.com/app/answers/detail/a_id/4635,20 Mar 2018,08 Jun 2018
Security Bulletin: NVIDIA SHIELD TV Security Updates for Multiple Vulnerabilities,N/A,NVIDIA,Critical,"CVE-2017-6279, CVE-2017-6281, CVE-2017-6276, CVE-2017-6282, CVE-2017-6283, CVE-2017-6284, CVE-2017-6296, CVE-2017-6295, CVE-2017-13175",https://nvidia.custhelp.com/app/answers/detail/a_id/4631,15 Feb 2018,15 Feb 2018
Security Bulletin: NVIDIA GeForce Experience Security Updates for CPU Speculative Side Channel Vulnerabilities,N/A,NVIDIA,High,"CVE-2017-5715, CVE-2017-5753, CVE-2017-5754",https://nvidia.custhelp.com/app/answers/detail/a_id/4610,09 Jan 2018,16 jan 2018
Security Bulletin: NVIDIA Jetson TX2 L4T Security Updates for CPU Speculative Side Channel Vulnerabilities,N/A,NVIDIA,High,"CVE-2017-5715, CVE-2017-5753, CVE-2017-5754",https://nvidia.custhelp.com/app/answers/detail/a_id/4617,05 Jan 2018,13 Mar 2018
"Security Bulletin: NVIDIA Jetson TX1, Jetson TK1, and Tegra K1 L4T Security Updates for CPU Speculative Side Channel Vulnerabilities",N/A,NVIDIA,High,"CVE-2017-5715, CVE-2017-5753, CVE-2017-5754",https://nvidia.custhelp.com/app/answers/detail/a_id/4616,05 Jan 2018,08 Jun 2018
Security Bulletin: NVIDIA Shield Tablet Security Updates for CPU Speculative Side Channel Vulnerabilities,N/A,NVIDIA,High,"CVE-2017-5715, CVE-2017-5753, CVE-2017-5754",https://nvidia.custhelp.com/app/answers/detail/a_id/4614,04 Jan 2018,22 Mar 2018
